fixture_id,date,api_football_team_id,team,opponent,stat,raw_stat,value
1170218,2024-03-26T21:00:00+00:00,1532,Algeria,South Africa,shots_on_goal,Shots on Goal,7
1170218,2024-03-26T21:00:00+00:00,1532,Algeria,South Africa,shots_off_goal,Shots off Goal,6
1170218,2024-03-26T21:00:00+00:00,1532,Algeria,South Africa,total_shots,Total Shots,13
1170218,2024-03-26T21:00:00+00:00,1532,Algeria,South Africa,blocked_shots,Blocked Shots,0
1170218,2024-03-26T21:00:00+00:00,1532,Algeria,South Africa,shots_insidebox,Shots insidebox,8
1170218,2024-03-26T21:00:00+00:00,1532,Algeria,South Africa,shots_outsidebox,Shots outsidebox,5
1170218,2024-03-26T21:00:00+00:00,1532,Algeria,South Africa,fouls,Fouls,13
1170218,2024-03-26T21:00:00+00:00,1532,Algeria,South Africa,corner_kicks,Corner Kicks,5
1170218,2024-03-26T21:00:00+00:00,1532,Algeria,South Africa,offsides,Offsides,
1170218,2024-03-26T21:00:00+00:00,1532,Algeria,South Africa,ball_possession,Ball Possession,47%
1170218,2024-03-26T21:00:00+00:00,1532,Algeria,South Africa,yellow_cards,Yellow Cards,1
1170218,2024-03-26T21:00:00+00:00,1532,Algeria,South Africa,red_cards,Red Cards,
1170218,2024-03-26T21:00:00+00:00,1532,Algeria,South Africa,goalkeeper_saves,Goalkeeper Saves,2
1170218,2024-03-26T21:00:00+00:00,1532,Algeria,South Africa,total_passes,Total passes,455
1170218,2024-03-26T21:00:00+00:00,1532,Algeria,South Africa,passes_accurate,Passes accurate,394
1170218,2024-03-26T21:00:00+00:00,1532,Algeria,South Africa,passes,Passes %,87%
1170218,2024-03-26T21:00:00+00:00,1532,Algeria,South Africa,expected_goals,expected_goals,
1170218,2024-03-26T21:00:00+00:00,1531,South Africa,Algeria,shots_on_goal,Shots on Goal,5
1170218,2024-03-26T21:00:00+00:00,1531,South Africa,Algeria,shots_off_goal,Shots off Goal,5
1170218,2024-03-26T21:00:00+00:00,1531,South Africa,Algeria,total_shots,Total Shots,12
1170218,2024-03-26T21:00:00+00:00,1531,South Africa,Algeria,blocked_shots,Blocked Shots,2
1170218,2024-03-26T21:00:00+00:00,1531,South Africa,Algeria,shots_insidebox,Shots insidebox,6
1170218,2024-03-26T21:00:00+00:00,1531,South Africa,Algeria,shots_outsidebox,Shots outsidebox,6
1170218,2024-03-26T21:00:00+00:00,1531,South Africa,Algeria,fouls,Fouls,11
1170218,2024-03-26T21:00:00+00:00,1531,South Africa,Algeria,corner_kicks,Corner Kicks,3
1170218,2024-03-26T21:00:00+00:00,1531,South Africa,Algeria,offsides,Offsides,
1170218,2024-03-26T21:00:00+00:00,1531,South Africa,Algeria,ball_possession,Ball Possession,53%
1170218,2024-03-26T21:00:00+00:00,1531,South Africa,Algeria,yellow_cards,Yellow Cards,2
1170218,2024-03-26T21:00:00+00:00,1531,South Africa,Algeria,red_cards,Red Cards,
1170218,2024-03-26T21:00:00+00:00,1531,South Africa,Algeria,goalkeeper_saves,Goalkeeper Saves,4
1170218,2024-03-26T21:00:00+00:00,1531,South Africa,Algeria,total_passes,Total passes,526
1170218,2024-03-26T21:00:00+00:00,1531,South Africa,Algeria,passes_accurate,Passes accurate,455
1170218,2024-03-26T21:00:00+00:00,1531,South Africa,Algeria,passes,Passes %,87%
1170218,2024-03-26T21:00:00+00:00,1531,South Africa,Algeria,expected_goals,expected_goals,
1146307,2024-06-26T01:00:00+00:00,2383,Chile,Argentina,shots_on_goal,Shots on Goal,3
1146307,2024-06-26T01:00:00+00:00,2383,Chile,Argentina,shots_off_goal,Shots off Goal,0
1146307,2024-06-26T01:00:00+00:00,2383,Chile,Argentina,total_shots,Total Shots,3
1146307,2024-06-26T01:00:00+00:00,2383,Chile,Argentina,blocked_shots,Blocked Shots,0
1146307,2024-06-26T01:00:00+00:00,2383,Chile,Argentina,shots_insidebox,Shots insidebox,1
1146307,2024-06-26T01:00:00+00:00,2383,Chile,Argentina,shots_outsidebox,Shots outsidebox,2
1146307,2024-06-26T01:00:00+00:00,2383,Chile,Argentina,fouls,Fouls,12
1146307,2024-06-26T01:00:00+00:00,2383,Chile,Argentina,corner_kicks,Corner Kicks,0
1146307,2024-06-26T01:00:00+00:00,2383,Chile,Argentina,offsides,Offsides,1
1146307,2024-06-26T01:00:00+00:00,2383,Chile,Argentina,ball_possession,Ball Possession,39%
1146307,2024-06-26T01:00:00+00:00,2383,Chile,Argentina,yellow_cards,Yellow Cards,2
1146307,2024-06-26T01:00:00+00:00,2383,Chile,Argentina,red_cards,Red Cards,
1146307,2024-06-26T01:00:00+00:00,2383,Chile,Argentina,goalkeeper_saves,Goalkeeper Saves,8
1146307,2024-06-26T01:00:00+00:00,2383,Chile,Argentina,total_passes,Total passes,355
1146307,2024-06-26T01:00:00+00:00,2383,Chile,Argentina,passes_accurate,Passes accurate,273
1146307,2024-06-26T01:00:00+00:00,2383,Chile,Argentina,passes,Passes %,77%
1146307,2024-06-26T01:00:00+00:00,2383,Chile,Argentina,expected_goals,expected_goals,0.12
1146307,2024-06-26T01:00:00+00:00,2383,Chile,Argentina,goals_prevented,goals_prevented,0.13
1146307,2024-06-26T01:00:00+00:00,26,Argentina,Chile,shots_on_goal,Shots on Goal,9
1146307,2024-06-26T01:00:00+00:00,26,Argentina,Chile,shots_off_goal,Shots off Goal,7
1146307,2024-06-26T01:00:00+00:00,26,Argentina,Chile,total_shots,Total Shots,22
1146307,2024-06-26T01:00:00+00:00,26,Argentina,Chile,blocked_shots,Blocked Shots,6
1146307,2024-06-26T01:00:00+00:00,26,Argentina,Chile,shots_insidebox,Shots insidebox,14
1146307,2024-06-26T01:00:00+00:00,26,Argentina,Chile,shots_outsidebox,Shots outsidebox,8
1146307,2024-06-26T01:00:00+00:00,26,Argentina,Chile,fouls,Fouls,9
1146307,2024-06-26T01:00:00+00:00,26,Argentina,Chile,corner_kicks,Corner Kicks,11
1146307,2024-06-26T01:00:00+00:00,26,Argentina,Chile,offsides,Offsides,1
1146307,2024-06-26T01:00:00+00:00,26,Argentina,Chile,ball_possession,Ball Possession,61%
1146307,2024-06-26T01:00:00+00:00,26,Argentina,Chile,yellow_cards,Yellow Cards,0
1146307,2024-06-26T01:00:00+00:00,26,Argentina,Chile,red_cards,Red Cards,
1146307,2024-06-26T01:00:00+00:00,26,Argentina,Chile,goalkeeper_saves,Goalkeeper Saves,3
1146307,2024-06-26T01:00:00+00:00,26,Argentina,Chile,total_passes,Total passes,551
1146307,2024-06-26T01:00:00+00:00,26,Argentina,Chile,passes_accurate,Passes accurate,482
1146307,2024-06-26T01:00:00+00:00,26,Argentina,Chile,passes,Passes %,87%
1146307,2024-06-26T01:00:00+00:00,26,Argentina,Chile,expected_goals,expected_goals,2.72
1146307,2024-06-26T01:00:00+00:00,26,Argentina,Chile,goals_prevented,goals_prevented,0.13
1146313,2024-06-30T00:00:00+00:00,26,Argentina,Peru,shots_on_goal,Shots on Goal,6
1146313,2024-06-30T00:00:00+00:00,26,Argentina,Peru,shots_off_goal,Shots off Goal,4
1146313,2024-06-30T00:00:00+00:00,26,Argentina,Peru,total_shots,Total Shots,12
1146313,2024-06-30T00:00:00+00:00,26,Argentina,Peru,blocked_shots,Blocked Shots,2
1146313,2024-06-30T00:00:00+00:00,26,Argentina,Peru,shots_insidebox,Shots insidebox,10
1146313,2024-06-30T00:00:00+00:00,26,Argentina,Peru,shots_outsidebox,Shots outsidebox,2
1146313,2024-06-30T00:00:00+00:00,26,Argentina,Peru,fouls,Fouls,11
1146313,2024-06-30T00:00:00+00:00,26,Argentina,Peru,corner_kicks,Corner Kicks,6
1146313,2024-06-30T00:00:00+00:00,26,Argentina,Peru,offsides,Offsides,3
1146313,2024-06-30T00:00:00+00:00,26,Argentina,Peru,ball_possession,Ball Possession,74%
1146313,2024-06-30T00:00:00+00:00,26,Argentina,Peru,yellow_cards,Yellow Cards,1
1146313,2024-06-30T00:00:00+00:00,26,Argentina,Peru,red_cards,Red Cards,
1146313,2024-06-30T00:00:00+00:00,26,Argentina,Peru,goalkeeper_saves,Goalkeeper Saves,1
1146313,2024-06-30T00:00:00+00:00,26,Argentina,Peru,total_passes,Total passes,627
1146313,2024-06-30T00:00:00+00:00,26,Argentina,Peru,passes_accurate,Passes accurate,561
1146313,2024-06-30T00:00:00+00:00,26,Argentina,Peru,passes,Passes %,89%
1146313,2024-06-30T00:00:00+00:00,26,Argentina,Peru,expected_goals,expected_goals,2.29
1146313,2024-06-30T00:00:00+00:00,26,Argentina,Peru,goals_prevented,goals_prevented,-0.89
1146313,2024-06-30T00:00:00+00:00,30,Peru,Argentina,shots_on_goal,Shots on Goal,1
1146313,2024-06-30T00:00:00+00:00,30,Peru,Argentina,shots_off_goal,Shots off Goal,3
1146313,2024-06-30T00:00:00+00:00,30,Peru,Argentina,total_shots,Total Shots,6
1146313,2024-06-30T00:00:00+00:00,30,Peru,Argentina,blocked_shots,Blocked Shots,2
1146313,2024-06-30T00:00:00+00:00,30,Peru,Argentina,shots_insidebox,Shots insidebox,2
1146313,2024-06-30T00:00:00+00:00,30,Peru,Argentina,shots_outsidebox,Shots outsidebox,4
1146313,2024-06-30T00:00:00+00:00,30,Peru,Argentina,fouls,Fouls,20
1146313,2024-06-30T00:00:00+00:00,30,Peru,Argentina,corner_kicks,Corner Kicks,3
1146313,2024-06-30T00:00:00+00:00,30,Peru,Argentina,offsides,Offsides,1
1146313,2024-06-30T00:00:00+00:00,30,Peru,Argentina,ball_possession,Ball Possession,26%
1146313,2024-06-30T00:00:00+00:00,30,Peru,Argentina,yellow_cards,Yellow Cards,5
1146313,2024-06-30T00:00:00+00:00,30,Peru,Argentina,red_cards,Red Cards,
1146313,2024-06-30T00:00:00+00:00,30,Peru,Argentina,goalkeeper_saves,Goalkeeper Saves,4
1146313,2024-06-30T00:00:00+00:00,30,Peru,Argentina,total_passes,Total passes,209
1146313,2024-06-30T00:00:00+00:00,30,Peru,Argentina,passes_accurate,Passes accurate,150
1146313,2024-06-30T00:00:00+00:00,30,Peru,Argentina,passes,Passes %,72%
1146313,2024-06-30T00:00:00+00:00,30,Peru,Argentina,expected_goals,expected_goals,0.14
1146313,2024-06-30T00:00:00+00:00,30,Peru,Argentina,goals_prevented,goals_prevented,-0.89
1176913,2024-03-23T00:00:00+00:00,26,Argentina,El Salvador,shots_on_goal,Shots on Goal,14
1176913,2024-03-23T00:00:00+00:00,26,Argentina,El Salvador,shots_off_goal,Shots off Goal,6
1176913,2024-03-23T00:00:00+00:00,26,Argentina,El Salvador,total_shots,Total Shots,24
1176913,2024-03-23T00:00:00+00:00,26,Argentina,El Salvador,blocked_shots,Blocked Shots,4
1176913,2024-03-23T00:00:00+00:00,26,Argentina,El Salvador,shots_insidebox,Shots insidebox,16
1176913,2024-03-23T00:00:00+00:00,26,Argentina,El Salvador,shots_outsidebox,Shots outsidebox,8
1176913,2024-03-23T00:00:00+00:00,26,Argentina,El Salvador,fouls,Fouls,13
1176913,2024-03-23T00:00:00+00:00,26,Argentina,El Salvador,corner_kicks,Corner Kicks,11
1176913,2024-03-23T00:00:00+00:00,26,Argentina,El Salvador,offsides,Offsides,2
1176913,2024-03-23T00:00:00+00:00,26,Argentina,El Salvador,ball_possession,Ball Possession,79%
1176913,2024-03-23T00:00:00+00:00,26,Argentina,El Salvador,yellow_cards,Yellow Cards,0
1176913,2024-03-23T00:00:00+00:00,26,Argentina,El Salvador,red_cards,Red Cards,
1176913,2024-03-23T00:00:00+00:00,26,Argentina,El Salvador,goalkeeper_saves,Goalkeeper Saves,1
1176913,2024-03-23T00:00:00+00:00,26,Argentina,El Salvador,total_passes,Total passes,922
1176913,2024-03-23T00:00:00+00:00,26,Argentina,El Salvador,passes_accurate,Passes accurate,847
1176913,2024-03-23T00:00:00+00:00,26,Argentina,El Salvador,passes,Passes %,92%
1176913,2024-03-23T00:00:00+00:00,26,Argentina,El Salvador,expected_goals,expected_goals,
1176913,2024-03-23T00:00:00+00:00,5159,El Salvador,Argentina,shots_on_goal,Shots on Goal,1
1176913,2024-03-23T00:00:00+00:00,5159,El Salvador,Argentina,shots_off_goal,Shots off Goal,0
1176913,2024-03-23T00:00:00+00:00,5159,El Salvador,Argentina,total_shots,Total Shots,2
1176913,2024-03-23T00:00:00+00:00,5159,El Salvador,Argentina,blocked_shots,Blocked Shots,1
1176913,2024-03-23T00:00:00+00:00,5159,El Salvador,Argentina,shots_insidebox,Shots insidebox,1
1176913,2024-03-23T00:00:00+00:00,5159,El Salvador,Argentina,shots_outsidebox,Shots outsidebox,1
1176913,2024-03-23T00:00:00+00:00,5159,El Salvador,Argentina,fouls,Fouls,10
1176913,2024-03-23T00:00:00+00:00,5159,El Salvador,Argentina,corner_kicks,Corner Kicks,2
1176913,2024-03-23T00:00:00+00:00,5159,El Salvador,Argentina,offsides,Offsides,0
1176913,2024-03-23T00:00:00+00:00,5159,El Salvador,Argentina,ball_possession,Ball Possession,21%
1176913,2024-03-23T00:00:00+00:00,5159,El Salvador,Argentina,yellow_cards,Yellow Cards,2
1176913,2024-03-23T00:00:00+00:00,5159,El Salvador,Argentina,red_cards,Red Cards,
1176913,2024-03-23T00:00:00+00:00,5159,El Salvador,Argentina,goalkeeper_saves,Goalkeeper Saves,10
1176913,2024-03-23T00:00:00+00:00,5159,El Salvador,Argentina,total_passes,Total passes,237
1176913,2024-03-23T00:00:00+00:00,5159,El Salvador,Argentina,passes_accurate,Passes accurate,169
1176913,2024-03-23T00:00:00+00:00,5159,El Salvador,Argentina,passes,Passes %,71%
1176913,2024-03-23T00:00:00+00:00,5159,El Salvador,Argentina,expected_goals,expected_goals,
1176914,2024-03-27T02:50:00+00:00,26,Argentina,Costa Rica,shots_on_goal,Shots on Goal,12
1176914,2024-03-27T02:50:00+00:00,26,Argentina,Costa Rica,shots_off_goal,Shots off Goal,6
1176914,2024-03-27T02:50:00+00:00,26,Argentina,Costa Rica,total_shots,Total Shots,21
1176914,2024-03-27T02:50:00+00:00,26,Argentina,Costa Rica,blocked_shots,Blocked Shots,3
1176914,2024-03-27T02:50:00+00:00,26,Argentina,Costa Rica,shots_insidebox,Shots insidebox,16
1176914,2024-03-27T02:50:00+00:00,26,Argentina,Costa Rica,shots_outsidebox,Shots outsidebox,5
1176914,2024-03-27T02:50:00+00:00,26,Argentina,Costa Rica,fouls,Fouls,14
1176914,2024-03-27T02:50:00+00:00,26,Argentina,Costa Rica,corner_kicks,Corner Kicks,6
1176914,2024-03-27T02:50:00+00:00,26,Argentina,Costa Rica,offsides,Offsides,1
1176914,2024-03-27T02:50:00+00:00,26,Argentina,Costa Rica,ball_possession,Ball Possession,74%
1176914,2024-03-27T02:50:00+00:00,26,Argentina,Costa Rica,yellow_cards,Yellow Cards,1
1176914,2024-03-27T02:50:00+00:00,26,Argentina,Costa Rica,red_cards,Red Cards,
1176914,2024-03-27T02:50:00+00:00,26,Argentina,Costa Rica,goalkeeper_saves,Goalkeeper Saves,2
1176914,2024-03-27T02:50:00+00:00,26,Argentina,Costa Rica,total_passes,Total passes,775
1176914,2024-03-27T02:50:00+00:00,26,Argentina,Costa Rica,passes_accurate,Passes accurate,692
1176914,2024-03-27T02:50:00+00:00,26,Argentina,Costa Rica,passes,Passes %,89%
1176914,2024-03-27T02:50:00+00:00,26,Argentina,Costa Rica,expected_goals,expected_goals,
1176914,2024-03-27T02:50:00+00:00,29,Costa Rica,Argentina,shots_on_goal,Shots on Goal,3
1176914,2024-03-27T02:50:00+00:00,29,Costa Rica,Argentina,shots_off_goal,Shots off Goal,4
1176914,2024-03-27T02:50:00+00:00,29,Costa Rica,Argentina,total_shots,Total Shots,7
1176914,2024-03-27T02:50:00+00:00,29,Costa Rica,Argentina,blocked_shots,Blocked Shots,0
1176914,2024-03-27T02:50:00+00:00,29,Costa Rica,Argentina,shots_insidebox,Shots insidebox,4
1176914,2024-03-27T02:50:00+00:00,29,Costa Rica,Argentina,shots_outsidebox,Shots outsidebox,3
1176914,2024-03-27T02:50:00+00:00,29,Costa Rica,Argentina,fouls,Fouls,20
1176914,2024-03-27T02:50:00+00:00,29,Costa Rica,Argentina,corner_kicks,Corner Kicks,1
1176914,2024-03-27T02:50:00+00:00,29,Costa Rica,Argentina,offsides,Offsides,0
1176914,2024-03-27T02:50:00+00:00,29,Costa Rica,Argentina,ball_possession,Ball Possession,26%
1176914,2024-03-27T02:50:00+00:00,29,Costa Rica,Argentina,yellow_cards,Yellow Cards,1
