team,api_football_team_id,fixture_id,date,timestamp,status,league_id,league,season,round,home_team_id,home_team,away_team_id,away_team,opponent,venue,goals_for,goals_against
Algeria,1532,1155254,2024-01-09T15:00:00+00:00,1704812400,FT,10,Friendlies,2024,Friendlies 1,1528,Burundi,1532,Algeria,Burundi,away,4,0
Algeria,1532,1170216,2024-03-22T21:00:00+00:00,1711141200,FT,10,Friendlies,2024,Friendlies 1,1532,Algeria,2381,Bolivia,Bolivia,home,3,2
Algeria,1532,1170218,2024-03-26T21:00:00+00:00,1711486800,FT,10,Friendlies,2024,Friendlies 1,1532,Algeria,1531,South Africa,South Africa,home,3,3
Argentina,26,1146307,2024-06-26T01:00:00+00:00,1719363600,FT,9,Copa America,2024,Group Stage - 2,2383,Chile,26,Argentina,Chile,away,1,0
Argentina,26,1146313,2024-06-30T00:00:00+00:00,1719705600,FT,9,Copa America,2024,Group Stage - 3,26,Argentina,30,Peru,Peru,home,2,0
Argentina,26,1176913,2024-03-23T00:00:00+00:00,1711152000,FT,10,Friendlies,2024,Friendlies 1,26,Argentina,5159,El Salvador,El Salvador,home,3,0
Argentina,26,1176914,2024-03-27T02:50:00+00:00,1711507800,FT,10,Friendlies,2024,Friendlies 1,26,Argentina,29,Costa Rica,Costa Rica,home,3,1
Argentina,26,1178424,2024-06-15T00:00:00+00:00,1718409600,FT,10,Friendlies,2024,Friendlies 1,26,Argentina,5161,Guatemala,Guatemala,home,4,1
Argentina,26,1189120,2024-06-21T00:00:00+00:00,1718928000,FT,9,Copa America,2024,Group Stage - 1,26,Argentina,5529,Canada,Canada,home,2,0
Argentina,26,1193462,2024-06-09T23:00:00+00:00,1717974000,FT,10,Friendlies,2024,Friendlies 1,26,Argentina,2382,Ecuador,Ecuador,home,1,0
Argentina,26,1219957,2024-07-05T01:00:00+00:00,1720141200,PEN,9,Copa America,2024,Quarter-finals,26,Argentina,2382,Ecuador,Ecuador,home,1,1
Argentina,26,1227537,2024-07-10T00:00:00+00:00,1720569600,FT,9,Copa America,2024,Semi-finals,26,Argentina,5529,Canada,Canada,home,2,0
Argentina,26,1234030,2024-07-15T00:30:00+00:00,1721003400,AET,9,Copa America,2024,Final,26,Argentina,8,Colombia,Colombia,home,1,0
Australia,20,1155242,2024-01-06T14:00:00+00:00,1704549600,FT,10,Friendlies,2024,Friendlies 1,1547,Bahrain,20,Australia,Bahrain,away,2,0
Austria,775,1145515,2024-06-17T19:00:00+00:00,1718650800,FT,4,Euro Championship,2024,Group D - 1,775,Austria,2,France,France,home,0,1
Austria,775,1145533,2024-06-25T16:00:00+00:00,1719331200,FT,4,Euro Championship,2024,Group D - 3,1118,Netherlands,775,Austria,Netherlands,away,3,2
Austria,775,1155269,2024-03-23T17:00:00+00:00,1711213200,FT,10,Friendlies,2024,Friendlies 1,773,Slovakia,775,Austria,Slovakia,away,2,0
Austria,775,1172362,2024-03-26T19:45:00+00:00,1711482300,FT,10,Friendlies,2024,Friendlies 1,775,Austria,777,Türkiye,Türkiye,home,6,1
Austria,775,1172892,2024-09-06T18:45:00+00:00,1725648300,FT,5,UEFA Nations League,2024,League B - 1,1091,Slovenia,775,Austria,Slovenia,away,1,1
Austria,775,1172899,2024-09-09T18:45:00+00:00,1725907500,FT,5,UEFA Nations League,2024,League B - 2,1090,Norway,775,Austria,Norway,away,1,2
Austria,775,1172909,2024-10-10T18:45:00+00:00,1728585900,FT,5,UEFA Nations League,2024,League B - 3,775,Austria,1095,Kazakhstan,Kazakhstan,home,4,0
Austria,775,1172918,2024-10-13T18:45:00+00:00,1728845100,FT,5,UEFA Nations League,2024,League B - 4,775,Austria,1090,Norway,Norway,home,5,1
