ranking_date,year,semester,rank,team,acronym,total_points,previous_points,diff_points
1992-12-31,1992,2,1,Germany,GER,57.0,0.0,57.0
1992-12-31,1992,2,1,Italy,ITA,57.0,0.0,57.0
1992-12-31,1992,2,3,Brazil,BRA,56.0,0.0,56.0
1992-12-31,1992,2,3,Sweden,SWE,56.0,0.0,56.0
1992-12-31,1992,2,5,England,ENG,55.0,0.0,55.0
1992-12-31,1992,2,6,Netherlands,NED,54.0,0.0,54.0
1992-12-31,1992,2,6,Republic of Ireland,IRL,54.0,0.0,54.0
1992-12-31,1992,2,8,Denmark,DEN,52.0,0.0,52.0
1992-12-31,1992,2,8,Russia,RUS,52.0,0.0,52.0
1992-12-31,1992,2,10,Argentina,ARG,51.0,0.0,51.0
1992-12-31,1992,2,10,Romania,ROU,51.0,0.0,51.0
1992-12-31,1992,2,10,Switzerland,SUI,51.0,0.0,51.0
1992-12-31,1992,2,13,Nigeria,NGA,50.0,0.0,50.0
1992-12-31,1992,2,14,Norway,NOR,49.0,0.0,49.0
1992-12-31,1992,2,14,Spain,ESP,49.0,0.0,49.0
1992-12-31,1992,2,16,Belgium,BEL,48.0,0.0,48.0
1992-12-31,1992,2,16,Uruguay,URU,48.0,0.0,48.0
1992-12-31,1992,2,18,Czechoslovakia,TCH,47.0,0.0,47.0
1992-12-31,1992,2,19,France,FRA,46.0,0.0,46.0
1992-12-31,1992,2,19,Poland,POL,46.0,0.0,46.0
1992-12-31,1992,2,21,Egypt,EGY,45.0,0.0,45.0
1992-12-31,1992,2,22,Cameroon,CMR,43.0,0.0,43.0
1992-12-31,1992,2,22,Mexico,MEX,43.0,0.0,43.0
1992-12-31,1992,2,22,Scotland,SCO,43.0,0.0,43.0
1992-12-31,1992,2,22,United States,USA,43.0,0.0,43.0
1992-12-31,1992,2,26,Bulgaria,BUL,41.0,0.0,41.0
1992-12-31,1992,2,26,Côte d'Ivoire,CIV,41.0,0.0,41.0
1992-12-31,1992,2,28,Wales,WAL,40.0,0.0,40.0
1992-12-31,1992,2,29,Algeria,ALG,39.0,0.0,39.0
1992-12-31,1992,2,29,Yugoslavia,YUG,39.0,0.0,39.0
1992-12-31,1992,2,31,Austria,AUT,38.0,0.0,38.0
1992-12-31,1992,2,31,Greece,GRE,38.0,0.0,38.0
