match_date,tournament,team_a,team_b,is_home,neutral,elo_team,elo_opponent,elo_diff,fifa_rank_team,fifa_rank_opponent,fifa_rank_diff,fifa_points_team,fifa_points_opponent,fifa_points_diff,wins_last_5,draws_last_5,losses_last_5,points_last_5,goals_scored_last_5,goals_conceded_last_5,avg_goals_scored_last_5,avg_goals_conceded_last_5,clean_sheets_last_5,weighted_form_last_5,avg_opponent_elo_last_5,wins_vs_top30_last_5,points_vs_top30_last_5,wins_vs_top50_last_5,points_vs_top50_last_5,elo_change_last_5,wins_last_10,draws_last_10,losses_last_10,points_last_10,goals_scored_last_10,goals_conceded_last_10,avg_goals_scored_last_10,avg_goals_conceded_last_10,clean_sheets_last_10,weighted_form_last_10,avg_opponent_elo_last_10,wins_vs_top30_last_10,points_vs_top30_last_10,wins_vs_top50_last_10,points_vs_top50_last_10,elo_change_last_10,opponent_wins_last_5,opponent_draws_last_5,opponent_losses_last_5,opponent_points_last_5,opponent_goals_scored_last_5,opponent_goals_conceded_last_5,opponent_avg_goals_scored_last_5,opponent_avg_goals_conceded_last_5,opponent_clean_sheets_last_5,opponent_weighted_form_last_5,opponent_avg_opponent_elo_last_5,opponent_wins_vs_top30_last_5,opponent_points_vs_top30_last_5,opponent_wins_vs_top50_last_5,opponent_points_vs_top50_last_5,opponent_elo_change_last_5,opponent_wins_last_10,opponent_draws_last_10,opponent_losses_last_10,opponent_points_last_10,opponent_goals_scored_last_10,opponent_goals_conceded_last_10,opponent_avg_goals_scored_last_10,opponent_avg_goals_conceded_last_10,opponent_clean_sheets_last_10,opponent_weighted_form_last_10,opponent_avg_opponent_elo_last_10,opponent_wins_vs_top30_last_10,opponent_points_vs_top30_last_10,opponent_wins_vs_top50_last_10,opponent_points_vs_top50_last_10,opponent_elo_change_last_10,wins_last_5_diff,draws_last_5_diff,losses_last_5_diff,points_last_5_diff,goals_scored_last_5_diff,goals_conceded_last_5_diff,avg_goals_scored_last_5_diff,avg_goals_conceded_last_5_diff,clean_sheets_last_5_diff,weighted_form_last_5_diff,avg_opponent_elo_last_5_diff,wins_vs_top30_last_5_diff,points_vs_top30_last_5_diff,wins_vs_top50_last_5_diff,points_vs_top50_last_5_diff,elo_change_last_5_diff,wins_last_10_diff,draws_last_10_diff,losses_last_10_diff,points_last_10_diff,goals_scored_last_10_diff,goals_conceded_last_10_diff,avg_goals_scored_last_10_diff,avg_goals_conceded_last_10_diff,clean_sheets_last_10_diff,weighted_form_last_10_diff,avg_opponent_elo_last_10_diff,wins_vs_top30_last_10_diff,points_vs_top30_last_10_diff,wins_vs_top50_last_10_diff,points_vs_top50_last_10_diff,elo_change_last_10_diff,result,target
1993-01-01,Friendly,Ghana,Mali,1,1,1622,1404,218,39,66,-27,34.0,22.0,12,2,1,2,7,3,2,0.6,0.4,3,1.8667,1545.25,0,0,0,0,123.0,7,1,2,22,10,4,1.0,0.4,6,1.9636,1554.2222,0,0,0,0,123.0,3,1,1,10,7,5,1.4,1.0,2,1.8667,1373.2,0,0,0,0,0.0,6,2,2,20,13,10,1.3,1.0,4,2.0364,1448.6,0,0,0,0,0.0,-1,0,1,-3,-4,-3,-0.8,-0.6,1,0,172.05,0,0,0,0,123,1,-1,0,2,-3,-6,-0.3,-0.6,2,-0.0728,105.6222,0,0,0,0,123,draw,1
1993-01-01,Friendly,Mali,Ghana,0,1,1404,1622,-218,66,39,27,22.0,34.0,-12,3,1,1,10,7,5,1.4,1.0,2,1.8667,1373.2,0,0,0,0,0.0,6,2,2,20,13,10,1.3,1.0,4,2.0364,1448.6,0,0,0,0,0.0,2,1,2,7,3,2,0.6,0.4,3,1.8667,1545.25,0,0,0,0,123.0,7,1,2,22,10,4,1.0,0.4,6,1.9636,1554.2222,0,0,0,0,123.0,1,0,-1,3,4,3,0.8,0.6,-1,0,-172.05,0,0,0,0,-123,-1,1,0,-2,3,6,0.3,0.6,-2,0.0728,-105.6222,0,0,0,0,-123,draw,1
1993-01-02,Friendly,Gabon,Burkina Faso,1,0,1443,1324,119,51,96,-45,27.0,11.0,16,4,1,0,13,10,4,2.0,0.8,2,2.8667,1424.8,0,0,0,0,0.0,6,2,2,20,12,6,1.2,0.6,5,2.3455,1452.5556,0,0,0,0,0.0,2,0,3,6,7,15,1.4,3.0,0,1.6,1466.6,0,0,0,0,0.0,4,2,4,14,14,21,1.4,2.1,1,1.4909,1430.6,0,0,0,0,0.0,2,1,-3,7,3,-11,0.6,-2.2,2,1.2667,-41.8,0,0,0,0,0,2,0,-2,6,-2,-15,-0.2,-1.5,4,0.8546,21.9556,0,0,0,0,0,draw,1
1993-01-02,Friendly,Burkina Faso,Gabon,0,0,1324,1443,-119,96,51,45,11.0,27.0,-16,2,0,3,6,7,15,1.4,3.0,0,1.6,1466.6,0,0,0,0,0.0,4,2,4,14,14,21,1.4,2.1,1,1.4909,1430.6,0,0,0,0,0.0,4,1,0,13,10,4,2.0,0.8,2,2.8667,1424.8,0,0,0,0,0.0,6,2,2,20,12,6,1.2,0.6,5,2.3455,1452.5556,0,0,0,0,0.0,-2,-1,3,-7,-3,11,-0.6,2.2,-2,-1.2667,41.8,0,0,0,0,0,-2,0,2,-6,2,15,0.2,1.5,-4,-0.8546,-21.9556,0,0,0,0,0,draw,1
1993-01-02,Friendly,Kuwait,Lebanon,1,0,1491,1251,240,71,149,-78,21.0,0.0,21,2,0,3,6,5,8,1.0,1.6,1,0.6,1381.0,0,0,0,0,0.0,4,3,3,15,14,12,1.4,1.2,2,1.1273,1469.375,0,0,0,0,0.0,0,2,3,2,1,11,0.2,2.2,1,0.2667,1554.2,0,0,0,0,4.0,1,2,7,5,6,27,0.6,2.7,2,0.3636,1556.5,0,0,0,0,-118.0,2,-2,0,4,4,-3,0.8,-0.6,0,0.3333,-173.2,0,0,0,0,-4,3,1,-4,10,8,-15,0.8,-1.5,0,0.7637,-87.125,0,0,0,0,118,win,2
1993-01-02,Friendly,Lebanon,Kuwait,0,0,1251,1491,-240,149,71,78,0.0,21.0,-21,0,2,3,2,1,11,0.2,2.2,1,0.2667,1554.2,0,0,0,0,4.0,1,2,7,5,6,27,0.6,2.7,2,0.3636,1556.5,0,0,0,0,-118.0,2,0,3,6,5,8,1.0,1.6,1,0.6,1381.0,0,0,0,0,0.0,4,3,3,15,14,12,1.4,1.2,2,1.1273,1469.375,0,0,0,0,0.0,-2,2,0,-4,-4,3,-0.8,0.6,0,-0.3333,173.2,0,0,0,0,4,-3,-1,4,-10,-8,15,-0.8,1.5,0,-0.7637,87.125,0,0,0,0,-118,loss,0
1993-01-03,Friendly,Burkina Faso,Mali,1,1,1324,1404,-80,96,66,30,11.0,22.0,-11,2,1,2,7,7,11,1.4,2.2,0,1.5333,1474.4,0,0,0,0,0.0,4,3,3,15,15,20,1.5,2.0,1,1.4182,1425.0,0,0,0,0,0.0,3,1,1,10,7,5,1.4,1.0,2,1.5333,1426.6,0,0,0,1,0.0,6,2,2,20,13,10,1.3,1.0,4,1.8545,1471.8,0,0,0,1,0.0,-1,0,1,-3,0,6,0,1.2,-2,0,47.8,0,0,0,-1,0,-2,1,1,-5,2,10,0.2,1,-3,-0.4363,-46.8,0,0,0,-1,0,win,2
1993-01-03,Friendly,Mali,Burkina Faso,0,1,1404,1324,80,66,96,-30,22.0,11.0,11,3,1,1,10,7,5,1.4,1.0,2,1.5333,1426.6,0,0,0,1,0.0,6,2,2,20,13,10,1.3,1.0,4,1.8545,1471.8,0,0,0,1,0.0,2,1,2,7,7,11,1.4,2.2,0,1.5333,1474.4,0,0,0,0,0.0,4,3,3,15,15,20,1.5,2.0,1,1.4182,1425.0,0,0,0,0,0.0,1,0,-1,3,0,-6,0,-1.2,2,0,-47.8,0,0,0,1,0,2,-1,-1,5,-2,-10,-0.2,-1,3,0.4363,46.8,0,0,0,1,0,loss,0
1993-01-03,Friendly,Gabon,Ghana,1,0,1443,1622,-179,51,39,12,27.0,34.0,-7,4,1,0,13,11,5,2.2,1.0,1,2.3333,1357.0,0,0,0,0,0.0,6,3,1,21,13,6,1.3,0.6,5,2.1636,1433.1111,0,0,0,0,0.0,2,1,2,7,4,3,0.8,0.6,2,1.7333,1484.25,0,0,0,0,123.0,6,2,2,20,10,5,1.0,0.5,5,1.7455,1542.5556,0,0,0,0,123.0,2,0,-2,6,7,2,1.4,0.4,-1,0.6,-127.25,0,0,0,0,-123,0,1,-1,1,3,1,0.3,0.1,0,0.4181,-109.4445,0,0,0,0,-123,loss,0
1993-01-03,Friendly,Ghana,Gabon,0,0,1622,1443,179,39,51,-12,34.0,27.0,7,2,1,2,7,4,3,0.8,0.6,2,1.7333,1484.25,0,0,0,0,123.0,6,2,2,20,10,5,1.0,0.5,5,1.7455,1542.5556,0,0,0,0,123.0,4,1,0,13,11,5,2.2,1.0,1,2.3333,1357.0,0,0,0,0,0.0,6,3,1,21,13,6,1.3,0.6,5,2.1636,1433.1111,0,0,0,0,0.0,-2,0,2,-6,-7,-2,-1.4,-0.4,1,-0.6,127.25,0,0,0,0,123,0,-1,1,-1,-3,-1,-0.3,-0.1,0,-0.4181,109.4445,0,0,0,0,123,win,2
