stage,group,type,position,team_id,team,team_tla,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference
GROUP_STAGE,GROUP_A,TOTAL,1,769,Mexico,MEX,1,1,0,0,3,2,0,2
GROUP_STAGE,GROUP_A,TOTAL,2,772,South Korea,KOR,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_A,TOTAL,3,798,Czechia,CZE,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_B,TOTAL,4,828,Canada,CAN,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_B,TOTAL,5,1060,Bosnia-Herzegovina,BIH,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_D,TOTAL,6,771,United States,USA,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_D,TOTAL,7,761,Paraguay,PAR,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_B,TOTAL,8,8030,Qatar,QAT,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_B,TOTAL,9,788,Switzerland,SUI,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_C,TOTAL,10,764,Brazil,BRA,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_C,TOTAL,11,815,Morocco,MAR,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_C,TOTAL,12,836,Haiti,HAI,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_C,TOTAL,13,8873,Scotland,SCO,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_D,TOTAL,14,779,Australia,AUS,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_D,TOTAL,15,803,Turkey,TUR,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_E,TOTAL,16,759,Germany,GER,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_E,TOTAL,17,9460,Curaçao,CUW,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_F,TOTAL,18,8601,Netherlands,NED,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_F,TOTAL,19,766,Japan,JPN,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_E,TOTAL,20,1935,Ivory Coast,CIV,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_E,TOTAL,21,791,Ecuador,ECU,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_F,TOTAL,22,792,Sweden,SWE,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_F,TOTAL,23,802,Tunisia,TUN,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_H,TOTAL,24,760,Spain,ESP,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_H,TOTAL,25,1930,Cape Verde Islands,CPV,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_G,TOTAL,26,805,Belgium,BEL,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_G,TOTAL,27,825,Egypt,EGY,0,0,0,0,0,0,0,0
GROUP_STAGE,GROUP_H,TOTAL,28,801,Saudi Arabia,KSA,0,0,0,0,0,0,0,0
