team_id,name,short_name,tla,crest,area_id,area_name,area_code
758,Uruguay,Uruguay,URY,https://crests.football-data.org/758.svg,2257,Uruguay,URY
759,Germany,Germany,GER,https://crests.football-data.org/759.svg,2088,Germany,DEU
760,Spain,Spain,ESP,https://crests.football-data.org/760.svg,2224,Spain,ESP
761,Paraguay,Paraguay,PAR,https://crests.football-data.org/761.svg,2183,Paraguay,PRY
762,Argentina,Argentina,ARG,https://crests.football-data.org/762.png,2011,Argentina,ARG
763,Ghana,Ghana,GHA,https://crests.football-data.org/ghana.svg,2089,Ghana,GHA
764,Brazil,Brazil,BRA,https://crests.football-data.org/764.svg,2032,Brazil,BRA
765,Portugal,Portugal,POR,https://crests.football-data.org/765.svg,2187,Portugal,POR
766,Japan,Japan,JPN,https://crests.football-data.org/766.svg,2116,Japan,JPN
769,Mexico,Mexico,MEX,https://crests.football-data.org/769.svg,2149,Mexico,MEX
770,England,England,ENG,https://crests.football-data.org/770.svg,2072,England,ENG
771,United States,USA,USA,https://crests.football-data.org/usa.svg,2256,United States,USA
772,South Korea,Korea Republic,KOR,https://crests.football-data.org/772.png,2123,South Korea,KOR
773,France,France,FRA,https://crests.football-data.org/773.svg,2081,France,FRA
774,South Africa,South Africa,RSA,https://crests.football-data.org/9396.svg,2219,South Africa,RSA
778,Algeria,Algeria,ALG,https://crests.football-data.org/algeria.svg,2004,Algeria,ALG
779,Australia,Australia,AUS,https://crests.football-data.org/779.svg,2015,Australia,AUS
783,New Zealand,New Zealand,NZL,https://crests.football-data.org/783.svg,2165,New Zealand,NZL
788,Switzerland,Switzerland,SUI,https://crests.football-data.org/788.svg,2234,Switzerland,CHE
791,Ecuador,Ecuador,ECU,https://crests.football-data.org/791.svg,2069,Ecuador,ECU
792,Sweden,Sweden,SWE,https://crests.football-data.org/792.svg,2233,Sweden,SWE
798,Czechia,Czechia,CZE,https://crests.football-data.org/798.svg,2062,Czech Republic,CZE
799,Croatia,Croatia,CRO,https://crests.football-data.org/799.svg,2058,Croatia,HRV
801,Saudi Arabia,Saudi Arabia,KSA,https://crests.football-data.org/saudi_arabia.svg,2203,Saudi Arabia,KSA
802,Tunisia,Tunisia,TUN,https://crests.football-data.org/tunisia.svg,2246,Tunisia,TUN
803,Turkey,Turkey,TUR,https://crests.football-data.org/803.svg,2247,Turkey,TUR
804,Senegal,Senegal,SEN,https://crests.football-data.org/senegal.svg,2205,Senegal,SEN
805,Belgium,Belgium,BEL,https://crests.football-data.org/805.svg,2023,Belgium,BEL
815,Morocco,Morocco,MAR,https://crests.football-data.org/morocco.svg,2156,Morocco,MAR
816,Austria,Austria,AUT,https://crests.football-data.org/816.svg,2016,Austria,AUT
818,Colombia,Colombia,COL,https://crests.football-data.org/818.svg,2049,Colombia,COL
825,Egypt,Egypt,EGY,https://crests.football-data.org/825.svg,2070,Egypt,EGY
828,Canada,Canada,CAN,https://crests.football-data.org/canada.svg,2040,Canada,CAN
836,Haiti,Haiti,HAI,https://crests.football-data.org/haiti.svg,2103,Haiti,HTI
840,Iran,Iran,IRN,https://crests.football-data.org/iran.svg,2110,Iran,IRN
1060,Bosnia-Herzegovina,Bosnia-H.,BIH,https://crests.football-data.org/bosnia.svg,2030,Bosnia and Herzegovina,BIH
1836,Panama,Panama,PAN,https://crests.football-data.org/panama.svg,2181,Panama,PAN
1930,Cape Verde Islands,Cape Verde,CPV,https://crests.football-data.org/cape_verde.svg,2041,Cape Verde Islands,CPV
1934,Congo DR,Congo DR,COD,https://crests.football-data.org/congo_dr.svg,2052,Congo DR,COD
1935,Ivory Coast,Ivory Coast,CIV,https://crests.football-data.org/787.svg,2056,Ivory Coast,CIV
8030,Qatar,Qatar,QAT,https://crests.football-data.org/8030.svg,2190,Qatar,QAT
8049,Jordan,Jordan,JOR,https://crests.football-data.org/8049.png,2118,Jordan,JOR
8062,Iraq,Iraq,IRQ,https://crests.football-data.org/iraq.svg,2111,Iraq,IRQ
8070,Uzbekistan,Uzbekistan,UZB,https://crests.football-data.org/8070.png,2259,Uzbekistan,UZB
8601,Netherlands,Netherlands,NED,https://crests.football-data.org/8601.svg,2163,Netherlands,NLD
8872,Norway,Norway,NOR,https://crests.football-data.org/813.svg,2173,Norway,NOR
8873,Scotland,Scotland,SCO,https://crests.football-data.org/814.svg,2204,Scotland,SCO
9460,Curaçao,Curaçao,CUW,https://crests.football-data.org/curacao.svg,2060,Curaçao,CUW
