team,thesportsdb_team_id,player_id,player,position,nationality,date_born,birth_location,height,weight,thumb,cutout,status
Algeria,134516,34231344,Achref Abada,Centre-Back,Algeria,1999-06-15,"Touggourt, Algeria",187 cm,,https://www.thesportsdb.com/images/media/player/thumb/fumkba1780251333.jpg,https://www.thesportsdb.com/images/media/player/cutout/a1t0961780303119.png,Active
Algeria,134516,34234198,Adil Boulbina,Left Wing,Algeria,2003-05-02,"El Milia, Algeria",179 cm,,https://www.thesportsdb.com/images/media/player/thumb/hz3nql1780251870.jpg,https://www.thesportsdb.com/images/media/player/cutout/oguuj51780303291.png,Active
Algeria,134516,34152909,Aïssa Mandi,Centre-Back,Algeria,1991-10-22,"Châlons-en-Champagne, France",1.84 m (6 ft 0 in),172 lbs,https://r2.thesportsdb.com/images/media/player/thumb/daf6z21503235226.jpg,https://r2.thesportsdb.com/images/media/player/cutout/u0lyro1766078291.png,Active
Algeria,134516,34163672,Amine Gouiri,Centre-Forward,Algeria,2000-02-16,"Bourgoin-Jallieu, France",1.80 m (5 ft 11 in),159 lbs,https://r2.thesportsdb.com/images/media/player/thumb/xl6as41534013643.jpg,https://r2.thesportsdb.com/images/media/player/cutout/74eam91766152411.png,Active
Algeria,134516,34246125,Anis Hadj Moussa,Right Winger,Algeria,2002-02-11,"Paris, France",1.76 m (5 ft 9 in),159 lbs,https://r2.thesportsdb.com/images/media/player/thumb/quqgoo1732695306.jpg,https://r2.thesportsdb.com/images/media/player/cutout/54rafl1732695177.png,Active
Algeria,134516,34200627,Farès Chaïbi,Attacking Midfield,Algeria,2002-11-28,"Lyon, France",1.83 m (6 ft 0 in),150 lbs,https://r2.thesportsdb.com/images/media/player/thumb/if8k4w1678360127.jpg,https://r2.thesportsdb.com/images/media/player/cutout/736ole1762287487.png,Active
Algeria,134516,34228039,Farès Ghedjemis,Right Winger,Algeria,2002-09-06,"Montreuil, France",183 cm,,https://www.thesportsdb.com/images/media/player/thumb/r1ozup1780251969.jpg,https://www.thesportsdb.com/images/media/player/cutout/4agbqr1780303327.png,Active
Algeria,134516,34173880,Hicham Boudaoui,Central Midfield,Algeria,1999-09-23,"Béchar, Algeria",1.75 m (5 ft 7 in),61 kg,https://r2.thesportsdb.com/images/media/player/thumb/vgryvf1609022848.jpg,https://r2.thesportsdb.com/images/media/player/cutout/pkjb4y1766319645.png,Active
Algeria,134516,34163670,Houssem Aouar,Attacking Midfield,Algeria,1998-06-30,"Lyon, France",1.75 m (5 ft 9 in),152 lbs,https://www.thesportsdb.com/images/media/player/thumb/ebmvo91780252792.jpg,https://r2.thesportsdb.com/images/media/player/cutout/hm39tt1681230801.png,Active
Algeria,134516,34219244,Ibrahim Maza,Attacking Midfield,Algeria,2005-11-24,"Berlin, Germany",180 cm,152 lbs,https://r2.thesportsdb.com/images/media/player/thumb/7z9c2k1756315185.jpg,https://r2.thesportsdb.com/images/media/player/cutout/pp1m6o1756315346.png,Active
Argentina,134509,34170133,Alexis Mac Allister,Central Midfield,Argentina,1998-12-24,"Santa Rosa, Argentina","176cm / 5'9""",150 lbs,https://r2.thesportsdb.com/images/media/player/thumb/9n5dnd1751999911.jpg,https://r2.thesportsdb.com/images/media/player/cutout/96dmuf1757087513.png,Active
Argentina,134509,34164243,Cristian Romero,Centre-Back,Argentina,1998-04-27,"Córdoba, Argentina","185cm / 6'1""",172 lbs,https://www.thesportsdb.com/images/media/player/thumb/16rd0s1780011158.jpg,https://r2.thesportsdb.com/images/media/player/cutout/dme7x81757016317.png,Active
Argentina,134509,34145423,Emiliano Martinez,Goalkeeper,Argentina,1992-09-02,"Mar del Plata, Argentina",195 cm,192 lbs,https://r2.thesportsdb.com/images/media/player/thumb/7drp311770201331.jpg,https://r2.thesportsdb.com/images/media/player/cutout/ffr5xx1756984715.png,Active
