team,matches_available,wins_last_available,draws_last_available,losses_last_available,points_last_available,goals_for_last_available,goals_against_last_available,goal_difference_last_available,avg_goals_for_last_available,avg_goals_against_last_available
Algeria,1,0,1,0,1,0,0,0,0.0,0.0
Argentina,1,1,0,0,3,2,0,2,2.0,0.0
Australia,1,1,0,0,3,5,1,4,5.0,1.0
Austria,1,1,0,0,3,1,0,1,1.0,0.0
Belgium,1,1,0,0,3,5,0,5,5.0,0.0
Bosnia and Herzegovina,1,0,1,0,1,0,0,0,0.0,0.0
Brazil,1,1,0,0,3,2,1,1,2.0,1.0
Canada,1,0,1,0,1,1,1,0,1.0,1.0
Cape Verde,1,1,0,0,3,3,0,3,3.0,0.0
Colombia,1,1,0,0,3,2,0,2,2.0,0.0
Croatia,1,1,0,0,3,2,1,1,2.0,1.0
Curaçao,1,1,0,0,3,4,0,4,4.0,0.0
Czechia,1,1,0,0,3,3,1,2,3.0,1.0
Côte d'Ivoire,1,1,0,0,3,3,0,3,3.0,0.0
DR Congo,1,0,0,1,0,1,2,-1,1.0,2.0
Ecuador,1,1,0,0,3,3,0,3,3.0,0.0
Egypt,1,1,0,0,3,1,0,1,1.0,0.0
England,1,1,0,0,3,1,0,1,1.0,0.0
France,1,1,0,0,3,3,1,2,3.0,1.0
Germany,1,1,0,0,3,4,0,4,4.0,0.0
Ghana,1,1,0,0,3,1,0,1,1.0,0.0
Haiti,1,0,0,1,0,1,2,-1,1.0,2.0
Iran,1,1,0,0,3,2,0,2,2.0,0.0
Iraq,1,1,0,0,3,1,0,1,1.0,0.0
Japan,1,1,0,0,3,1,0,1,1.0,0.0
Jordan,0,0,0,0,0,0,0,0,0,0
Mexico,1,1,0,0,3,5,1,4,5.0,1.0
Morocco,1,0,1,0,1,1,1,0,1.0,1.0
Netherlands,1,1,0,0,3,2,1,1,2.0,1.0
New Zealand,1,1,0,0,3,4,1,3,4.0,1.0
Norway,1,1,0,0,3,3,1,2,3.0,1.0
Panama,1,0,1,0,1,1,1,0,1.0,1.0
Paraguay,1,1,0,0,3,4,0,4,4.0,0.0
Portugal,1,1,0,0,3,2,1,1,2.0,1.0
Qatar,1,0,1,0,1,0,0,0,0.0,0.0
Saudi Arabia,1,0,1,0,1,0,0,0,0.0,0.0
Scotland,1,1,0,0,3,4,1,3,4.0,1.0
Senegal,1,1,0,0,3,3,1,2,3.0,1.0
South Africa,1,0,1,0,1,0,0,0,0.0,0.0
South Korea,1,1,0,0,3,1,0,1,1.0,0.0
Spain,1,0,1,0,1,1,1,0,1.0,1.0
Sweden,1,0,1,0,1,2,2,0,2.0,2.0
Switzerland,1,0,1,0,1,1,1,0,1.0,1.0
Tunisia,1,1,0,0,3,3,1,2,3.0,1.0
Turkey,1,1,0,0,3,4,0,4,4.0,0.0
United States,1,0,0,1,0,1,2,-1,1.0,2.0
Uruguay,1,1,0,0,3,1,0,1,1.0,0.0
Uzbekistan,1,0,1,0,1,0,0,0,0.0,0.0
