team,thesportsdb_team_id,thesportsdb_team,country,league,stadium,badge,logo,banner,match_status
Algeria,134516,Algeria,Algeria,FIFA World Cup,Stade Nelson-Mandela,https://r2.thesportsdb.com/images/media/team/badge/rrwpry1455460218.png,https://r2.thesportsdb.com/images/media/team/logo/9faygn1725671229.png,https://www.thesportsdb.com/images/media/team/banner/kgtrn71777370059.jpg,exact
Argentina,134509,Argentina,Argentina,FIFA World Cup,Estadio Mâs Monumental,https://r2.thesportsdb.com/images/media/team/badge/3zplhu1726167477.png,https://r2.thesportsdb.com/images/media/team/logo/r7pn8c1726167467.png,https://r2.thesportsdb.com/images/media/team/banner/qsekrw1630938838.jpg,exact
Australia,134500,Australia,Australia,FIFA World Cup,Melbourne Cricket Ground,https://r2.thesportsdb.com/images/media/team/badge/lark6k1661780848.png,https://r2.thesportsdb.com/images/media/team/logo/pmbrbx1597946657.png,https://www.thesportsdb.com/images/media/team/banner/bkgnzi1777370336.jpg,exact
Austria,135986,Austria,Austria,FIFA World Cup,Ernst-Happel-Stadion,https://r2.thesportsdb.com/images/media/team/badge/874p631628721400.png,https://r2.thesportsdb.com/images/media/team/logo/9cas5n1622190843.png,https://r2.thesportsdb.com/images/media/team/banner/xizanh1622190626.jpg,exact
Belgium,134515,Belgium,Belgium,FIFA World Cup,Stade Roi Baudouin,https://r2.thesportsdb.com/images/media/team/badge/8xlvxv1592062265.png,https://r2.thesportsdb.com/images/media/team/logo/0kz0ai1592062266.png,https://r2.thesportsdb.com/images/media/team/banner/p9v5x91592065491.jpg,exact
Bosnia and Herzegovina,134510,Bosnia-Herzegovina,Bosnia and Herzegovina,FIFA World Cup,Stadion Grbavica,https://r2.thesportsdb.com/images/media/team/badge/wtqqst1455463120.png,https://r2.thesportsdb.com/images/media/team/logo/706c091599315264.png,https://www.thesportsdb.com/images/media/team/banner/xpvler1777370886.jpg,exact
Brazil,134496,Brazil,Brazil,FIFA World Cup,Estádio do Maracanã,https://r2.thesportsdb.com/images/media/team/badge/jl6dip1726167280.png,https://r2.thesportsdb.com/images/media/team/logo/isajst1668434350.png,https://www.thesportsdb.com/images/media/team/banner/ryskjz1777720201.jpg,exact
Canada,140073,Canada,Canada,FIFA World Cup,BMO Field,https://r2.thesportsdb.com/images/media/team/badge/2t631f1595154867.png,https://r2.thesportsdb.com/images/media/team/logo/kvexmu1595154868.png,https://www.thesportsdb.com/images/media/team/banner/scfgjz1777919866.jpg,exact
Cape Verde,136477,Cape Verde,Cape Verde,FIFA World Cup,Estádio Nacional de Cabo Verde,https://r2.thesportsdb.com/images/media/team/badge/5jn0o71593280376.png,https://r2.thesportsdb.com/images/media/team/logo/osoruq1740100324.png,https://www.thesportsdb.com/images/media/team/banner/eyplqz1777920055.jpg,exact
Colombia,134501,Colombia,Colombia,FIFA World Cup,Estadio Metropolitano Roberto Meléndez,https://r2.thesportsdb.com/images/media/team/badge/4ymyku1691180081.png,https://r2.thesportsdb.com/images/media/team/logo/216ygz1691180247.png,https://www.thesportsdb.com/images/media/team/banner/4q0hly1777984287.jpg,exact
Croatia,133912,Croatia,Croatia,FIFA World Cup,Stadion Maksimir,https://r2.thesportsdb.com/images/media/team/badge/vvtsyu1455465317.png,https://r2.thesportsdb.com/images/media/team/logo/s3gxxc1720451284.png,https://r2.thesportsdb.com/images/media/team/banner/egbs5p1720451918.jpg,exact
Curaçao,140271,Curaçao,Curacao,FIFA World Cup,Stadion Ergilio Hato,https://r2.thesportsdb.com/images/media/team/badge/itygvb1600955363.png,https://r2.thesportsdb.com/images/media/team/logo/x5uzc11600955378.png,https://www.thesportsdb.com/images/media/team/banner/o27a8b1779194707.jpg,exact
