match_id,date,minute,team,player,assist,home_team,away_team,source_type
MEXICO_SOUTHAFRICA_2026_06_11,2026-06-11,9,Mexico,Julian Quinones,Erik Lira,Mexico,South Africa,manual_curated
MEXICO_SOUTHAFRICA_2026_06_11,2026-06-11,67,Mexico,Raul Jimenez,Roberto Alvarado,Mexico,South Africa,manual_curated
SOUTHKOREA_CZECHIA_2026_06_11,2026-06-11,59,Czechia,Ladislav Krejci,Vladimir Coufal,South Korea,Czechia,manual_curated
SOUTHKOREA_CZECHIA_2026_06_11,2026-06-11,67,South Korea,Hwang In-beom,Lee Kang-in,South Korea,Czechia,manual_curated
SOUTHKOREA_CZECHIA_2026_06_11,2026-06-11,80,South Korea,Oh Hyeon-gyu,Hwang In-beom,South Korea,Czechia,manual_curated
CANADA_BOSNIA_2026_06_12,2026-06-12,21,Bosnia and Herzegovina,Jovo Lukic,Sead Kolasinac,Canada,Bosnia and Herzegovina,manual_curated
CANADA_BOSNIA_2026_06_12,2026-06-12,78,Canada,Cyle Larin,Jonathan David,Canada,Bosnia and Herzegovina,manual_curated
USA_PARAGUAY_2026_06_12,2026-06-12,7,United States,Bobadilla (Own Goal),,United States,Paraguay,manual_curated
USA_PARAGUAY_2026_06_12,2026-06-12,31,United States,Folarin Balogun,Christian Pulisic,United States,Paraguay,manual_curated
USA_PARAGUAY_2026_06_12,2026-06-12,45+5,United States,Folarin Balogun,Malik Tillman,United States,Paraguay,manual_curated
USA_PARAGUAY_2026_06_12,2026-06-12,73,Paraguay,Mauricio,Julio Enciso,United States,Paraguay,manual_curated
USA_PARAGUAY_2026_06_12,2026-06-12,90+8,United States,Giovanni Reyna,Alexander Freeman,United States,Paraguay,manual_curated
QATAR_SWITZERLAND_2026_06_13,2026-06-13,17,Switzerland,Breel Embolo,Penalty,Qatar,Switzerland,manual_curated
QATAR_SWITZERLAND_2026_06_13,2026-06-13,90+4,Qatar,Miro Muheim (Own Goal),,Qatar,Switzerland,manual_curated
BRAZIL_MOROCCO_2026_06_13,2026-06-13,21,Morocco,Ismael Saibari,Brahim Diaz,Brazil,Morocco,manual_curated
