pair_key,date,home_team,away_team,home_score,away_score,winner,tournament,source_type
Mexico__South Africa,2026-06-11,Mexico,South Africa,2,0,Mexico,FIFA World Cup 2026,manual_curated
Mexico__South Africa,2010-06-11,South Africa,Mexico,1,1,Draw,FIFA World Cup 2010,manual_curated
Mexico__South Africa,2005-07-07,South Africa,Mexico,2,1,South Africa,,manual_curated
South Korea__Czechia,2026-06-11,South Korea,Czechia,2,1,South Korea,FIFA World Cup 2026,manual_curated
Canada__Bosnia and Herzegovina,2026-06-12,Canada,Bosnia and Herzegovina,1,1,Draw,FIFA World Cup 2026,manual_curated
United States__Paraguay,2026-06-12,United States,Paraguay,4,1,United States,FIFA World Cup 2026,manual_curated
United States__Paraguay,2016-06-11,United States,Paraguay,1,0,United States,Copa America,manual_curated
United States__Paraguay,2007-07-02,United States,Paraguay,1,3,Paraguay,Copa America,manual_curated
United States__Paraguay,1930-07-17,United States,Paraguay,3,0,United States,FIFA World Cup 1930,manual_curated
Qatar__Switzerland,2026-06-13,Qatar,Switzerland,1,1,Draw,FIFA World Cup 2026,manual_curated
Brazil__Morocco,2026-06-13,Brazil,Morocco,1,1,Draw,FIFA World Cup 2026,manual_curated
Brazil__Morocco,1998-06-16,Brazil,Morocco,3,0,Brazil,FIFA World Cup 1998,manual_curated
Haiti__Scotland,2026-06-13,Haiti,Scotland,0,1,Scotland,FIFA World Cup 2026,manual_curated
Australia__Turkey,2026-06-13,Australia,Turkey,2,0,Australia,FIFA World Cup 2026,manual_curated
Germany__Curacao,2026-06-14,Germany,Curacao,7,1,Germany,FIFA World Cup 2026,manual_curated
Netherlands__Japan,2026-06-14,Netherlands,Japan,2,2,Draw,FIFA World Cup 2026,manual_curated
Netherlands__Japan,2010-06-19,Netherlands,Japan,1,0,Netherlands,FIFA World Cup 2010,manual_curated
Sweden__Tunisia,2026-06-14,Sweden,Tunisia,5,1,Sweden,FIFA World Cup 2026,manual_curated
Spain__Cape Verde,2026-06-15,Spain,Cape Verde,0,0,Draw,FIFA World Cup 2026,manual_curated
Belgium__Egypt,2026-06-15,Belgium,Egypt,1,1,Draw,FIFA World Cup 2026,manual_curated
Saudi Arabia__Uruguay,2026-06-15,Saudi Arabia,Uruguay,1,1,Draw,FIFA World Cup 2026,manual_curated
Saudi Arabia__Uruguay,2018-06-20,Uruguay,Saudi Arabia,1,0,Uruguay,FIFA World Cup 2018,manual_curated
Iran__New Zealand,2026-06-15,Iran,New Zealand,2,2,Draw,FIFA World Cup 2026,manual_curated
France__Senegal,2026-06-16,France,Senegal,3,1,France,FIFA World Cup 2026,manual_curated
France__Senegal,2002-05-31,France,Senegal,0,1,Senegal,International Friendly,manual_curated
Ivory Coast__Ecuador,2026-06-14,Ivory Coast,Ecuador,1,0,Ivory Coast,FIFA World Cup 2026,manual_curated
Iraq__Norway,2026-06-16,Iraq,Norway,1,4,Norway,FIFA World Cup 2026,manual_curated
Argentina__Algeria,2026-06-16,Argentina,Algeria,3,0,Argentina,FIFA World Cup 2026,manual_curated
