match_id,tournament,stage,matchday,date,home_team,away_team,final_score_home,final_score_away,winner,possession_home,possession_away,shots_home,shots_away,shots_on_target_home,shots_on_target_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,blocked_shots_home,blocked_shots_away,saves_home,saves_away,passes_home,passes_away,chances_created_home,chances_created_away,accurate_crosses_home,accurate_crosses_away,corners_home,corners_away,free_kicks_home,free_kicks_away,offsides_home,offsides_away,goal_kicks_home,goal_kicks_away,throw_ins_home,throw_ins_away,shot_accuracy_home,shot_accuracy_away,goal_conversion_home,goal_conversion_away,pass_advantage_home,possession_advantage_home,shots_differential,shots_on_target_differential,discipline_differential_yellow,discipline_differential_red,result_label,source_type,big_chances_created_home,big_chances_created_away,big_chances_scored_home,big_chances_scored_away,chances_created_differential,foul_differential,group,cross_differential,corner_differential,form_points_home,form_points_away,form_differential,goals_for_last5_differential,first_goal_team,first_goal_minute,equalizer_team,equalizer_minute,comeback_occurred,team_trailing_then_recovered,home_team_dominated_possession,home_team_dominated_shots,home_team_dominated_passes,home_team_dominated_chances_created,final_result_matched_statistical_dominance
MEXICO_SOUTHAFRICA_2026_06_11,FIFA World Cup 2026,Group Stage,1,2026-06-11,Mexico,South Africa,2,0,Mexico,60,39,16,3,4,2,12,11,1,2,1,2,5,0,2,2,520,334,13,2,12,8,3,1,11,11,1,1,5,8,21,11,0.25,0.67,0.125,0.0,186,21,13,2,-1,-1,HOME_WIN,manual_curated,,,,,,,,,,,,,,,,,,,,,,,,
SOUTHKOREA_CZECHIA_2026_06_11,FIFA World Cup 2026,Group Stage,1,2026-06-11,South Korea,Czechia,2,1,South Korea,62,38,15,7,6,4,9,16,1,0,0,0,4,0,3,4,541,324,14,3,12,15,4,5,16,9,2,2,4,8,26,16,0.40,0.57,0.133,0.143,217,24,8,2,1,0,HOME_WIN,manual_curated,3,1,2,1,11,-7,A,,,,,,,,,,,,,,,,,
CANADA_BOSNIA_2026_06_12,FIFA World Cup 2026,Group Stage,1,2026-06-12,Canada,Bosnia and Herzegovina,1,1,Draw,61,39,13,8,4,3,10,20,2,3,0,0,4,1,2,1,417,268,12,5,24,10,9,4,20,10,1,0,7,9,32,26,0.308,0.375,0.077,0.125,149,22,5,1,-1,0,DRAW,manual_curated,1,1,,,7,-10,B,14,5,9,7,2,4,Bosnia and Herzegovina,21,Canada,78,FALSE,Canada,TRUE,TRUE,TRUE,TRUE,FALSE
USA_PARAGUAY_2026_06_12,FIFA World Cup 2026,Group Stage,1,2026-06-12,United States,Paraguay,4,1,United States,65,35,16,9,6,1,13,17,1,5,0,0,4,5,0,3,598,319,12,7,19,5,3,1,16,13,2,1,3,7,23,17,0.375,0.111,0.250,0.111,279,30,7,5,-4,0,HOME_WIN,manual_curated,3,1,2,1,5,-4,D,14,2,10,8,2,3,United States,7,,,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE
QATAR_SWITZERLAND_2026_06_13,FIFA World Cup 2026,Group Stage,1,2026-06-13,Qatar,Switzerland,1,1,Draw,32,68,6,26,3,7,12,11,2,1,0,0,0,9,5,3,278,576,4,24,9,35,3,10,11,12,0,1,12,5,14,17,0.500,0.269,0.167,0.038,-298,-36,-20,-4,1,0,DRAW,manual_curated,,,,,-20,1,B,-26,-7,7,11,-4,-6,Switzerland,17,Qatar,90+4,FALSE,Qatar,FALSE,FALSE,FALSE,FALSE,FALSE
BRAZIL_MOROCCO_2026_06_13,FIFA World Cup 2026,Group Stage,1,2026-06-13,Brazil,Morocco,1,1,Draw,51,49,12,14,5,3,16,14,2,0,0,0,3,6,2,4,514,486,10,10,16,15,6,2,14,16,0,1,4,4,17,13,0.417,0.214,0.083,0.071,28,2,-2,2,2,0,DRAW,manual_curated,,,,,0,2,C,1,4,7,11,-4,-2,Morocco,21,Brazil,32,FALSE,Brazil,FALSE,FALSE,FALSE,FALSE,TRUE
HAITI_SCOTLAND_2026_06_13,FIFA World Cup 2026,Group Stage,1,2026-06-13,Haiti,Scotland,0,1,Scotland,54,46,15,9,2,2,23,21,1,3,0,0,4,2,1,2,431,374,11,7,23,14,4,3,21,22,3,1,7,13,14,23,0.133,0.222,0.000,0.111,57,8,6,0,-2,0,AWAY_WIN,manual_curated,,,,,4,2,C,9,1,10,12,-2,-4,Scotland,28,,,FALSE,,TRUE,TRUE,TRUE,TRUE,FALSE
AUSTRALIA_TURKEY_2026_06_13,FIFA World Cup 2026,Group Stage,1,2026-06-13,Australia,Turkey,2,0,Australia,28,72,9,30,4,8,12,4,0,1,0,0,1,12,8,2,271,704,8,20,14,26,5,8,4,12,1,3,17,6,14,24,0.444,0.267,0.222,0.000,-433,-44,-21,-4,-1,0,HOME_WIN,manual_curated,1,2,,,-12,8,D,-12,-3,13,13,0,2,Australia,27,,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE
GERMANY_CURACAO_2026_06_14,FIFA World Cup 2026,Group Stage,1,2026-06-14,Germany,Curacao,7,1,Germany,65,35,26,8,12,2,18,11,0,0,0,0,8,0,1,4,637,343,21,6,12,7,8,1,10,18,0,1,7,11,17,9,0.462,0.250,0.269,0.125,294,30,18,10,0,0,HOME_WIN,manual_curated,,,,,15,7,E,5,7,15,11,4,3,Germany,6,Curacao,21,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE
IVORY_COAST_ECUADOR_2026_06_14,FIFA World Cup 2026,Group Stage,1,2026-06-14,Ivory Coast,Ecuador,1,0,Ivory Coast,48,52,15,12,4,1,10,13,3,1,0,0,3,3,1,3,470,492,12,9,8,14,3,6,13,9,0,0,10,11,14,14,0.267,0.083,0.067,0.000,-22,-4,3,3,2,0,HOME_WIN,manual_curated,1,1,,,3,-3,E,-6,-3,,,,,Ivory Coast,90,,,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE
NETHERLANDS_JAPAN_2026_06_14,FIFA World Cup 2026,Group Stage,1,2026-06-14,Netherlands,Japan,2,2,Draw,60,40,10,10,6,3,7,7,3,0,0,0,1,1,1,4,524,341,10,10,21,23,5,4,6,7,1,0,9,7,21,19,0.600,0.300,0.200,0.200,183,20,0,3,3,0,DRAW,manual_curated,,,,,0,0,F,-2,1,13,12,1,1,Netherlands,51,Japan,57,TRUE,Japan,TRUE,FALSE,TRUE,FALSE,TRUE
SWEDEN_TUNISIA_2026_06_14,FIFA World Cup 2026,Group Stage,1,2026-06-14,Sweden,Tunisia,5,1,Sweden,49,51,13,6,7,2,10,8,0,1,0,0,3,1,1,1,356,371,11,4,12,13,4,2,8,8,3,6,6,10,18,17,0.538,0.333,0.385,0.167,-15,-2,7,5,-1,0,HOME_WIN,manual_curated,,,,,7,2,F,-1,2,,,,,Sweden,7,,,FALSE,,FALSE,TRUE,FALSE,TRUE,TRUE
SPAIN_CAPE_VERDE_2026_06_15,FIFA World Cup 2026,Group Stage,1,2026-06-15,Spain,Cape Verde,0,0,Draw,74,26,27,6,7,1,10,1,1,1,0,0,8,2,1,7,800,278,19,4,36,4,11,1,1,9,2,3,5,14,18,14,0.259,0.167,0.000,0.000,522,48,21,6,0,0,DRAW,manual_curated,2,1,,,15,9,H,32,10,,,,,,,,,FALSE,,TRUE,TRUE,TRUE,TRUE,FALSE
BELGIUM_EGYPT_2026_06_15,FIFA World Cup 2026,Group Stage,1,2026-06-15,Belgium,Egypt,1,1,Draw,54,46,15,14,3,3,15,15,2,2,0,0,5,7,2,3,455,398,13,10,16,13,2,7,15,14,0,1,1,12,28,19,0.200,0.214,0.067,0.071,57,8,1,0,0,0,DRAW,manual_curated,2,1,,,3,0,G,3,-5,,,,,Egypt,20,Belgium,66,FALSE,Belgium,FALSE,FALSE,FALSE,FALSE,TRUE
SAUDI_ARABIA_URUGUAY_2026_06_15,FIFA World Cup 2026,Group Stage,1,2026-06-15,Saudi Arabia,Uruguay,1,1,Draw,33,67,7,27,3,10,11,6,1,0,0,0,1,7,9,2,322,612,1,19,6,47,4,14,6,11,0,6,10,3,18,20,0.429,0.370,0.143,0.037,-290,-34,-20,-7,1,0,DRAW,manual_curated,1,1,,,-18,5,H,-41,-10,,,,,Saudi Arabia,41,Uruguay,80,FALSE,Uruguay,FALSE,FALSE,FALSE,FALSE,FALSE
IRAN_NEW_ZEALAND_2026_06_15,FIFA World Cup 2026,Group Stage,1,2026-06-15,Iran,New Zealand,2,2,Draw,48,51,17,14,4,8,10,8,1,0,0,0,5,2,6,2,409,446,11,9,19,12,4,1,8,10,2,0,4,11,25,16,0.235,0.571,0.118,0.143,-37,-3,3,-4,1,0,DRAW,manual_curated,1,2,2,2,2,2,G,7,3,,,,,New Zealand,7,Iran,32,TRUE,Iran,FALSE,FALSE,FALSE,FALSE,TRUE
FRANCE_SENEGAL_2026_06_16,FIFA World Cup 2026,Group Stage,1,2026-06-16,France,Senegal,3,1,France,53,47,11,6,8,2,5,9,0,0,0,0,2,1,2,5,575,502,9,5,9,9,6,4,8,5,1,3,7,4,9,21,0.727,0.333,0.273,0.167,73,6,5,6,0,0,HOME_WIN,manual_curated,4,1,,,4,-4,I,0,2,,,,,France,66,,,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE
IRAQ_NORWAY_2026_06_16,FIFA World Cup 2026,Group Stage,1,2026-06-16,Iraq,Norway,1,4,Norway,39,61,11,12,1,5,12,13,1,0,0,0,2,3,2,0,333,536,8,9,13,17,2,5,13,11,1,0,10,9,14,22,0.091,0.417,0.091,0.333,-203,-22,-1,-4,1,0,AWAY_WIN,manual_curated,1,2,,,-1,-1,I,-4,-3,,,,,Norway,29,Iraq,39,FALSE,Iraq,FALSE,FALSE,FALSE,FALSE,TRUE
