team,has_form_last_5,detailed_recent_results,has_aggregate_recent_stats,coverage_status,notes
Bosnia and Herzegovina,TRUE,5,TRUE,complete,
Canada,TRUE,5,TRUE,complete,
Czechia,TRUE,5,TRUE,complete,
Mexico,TRUE,5,TRUE,complete,
South Africa,TRUE,5,TRUE,complete,
South Korea,TRUE,5,TRUE,complete,
United States,TRUE,5,TRUE,complete,
Paraguay,TRUE,5,TRUE,complete,
Qatar,TRUE,5,TRUE,complete,
Switzerland,TRUE,5,TRUE,complete,
Brazil,TRUE,5,TRUE,complete,
Morocco,TRUE,5,TRUE,complete,Unbeaten streak: 22 matches
Haiti,TRUE,5,TRUE,complete,
Scotland,TRUE,5,TRUE,complete,
Australia,TRUE,5,TRUE,complete,
Turkey,TRUE,5,TRUE,complete,
Germany,TRUE,5,TRUE,complete,
Curacao,TRUE,5,TRUE,complete,
Netherlands,TRUE,5,TRUE,complete,
Japan,TRUE,5,TRUE,complete,Used final Japan recent-form block from source message.
Tunisia,TRUE,5,TRUE,complete,BTTS last 5: 4; unbeaten streak: 2; win streak: 0
Spain,TRUE,TRUE,TRUE,complete,
Cape Verde,TRUE,TRUE,TRUE,complete,BTTS last 5: 3; unbeaten streak: 5; win streak: 1
Egypt,TRUE,TRUE,TRUE,complete,BTTS last 5: 2; unbeaten streak: 1; win streak: 0
Saudi Arabia,TRUE,TRUE,TRUE,complete,
Uruguay,TRUE,TRUE,TRUE,complete,BTTS last 5: 0; unbeaten streak: 1; win streak: 0
New Zealand,TRUE,TRUE,TRUE,complete,BTTS last 5: 1; unbeaten streak: 5; win streak: 5
Senegal,TRUE,TRUE,TRUE,complete,BTTS last 5: 2; unbeaten streak: 5; win streak: 4
Ecuador,TRUE,TRUE,TRUE,complete,BTTS last 5: 0; unbeaten streak: 5; win streak: 1; defensive streak: 5 clean sheets consecutive
Iraq,TRUE,TRUE,TRUE,complete,BTTS last 5: 2; unbeaten streak: 5; win streak: 1; defensive record: 2 goals conceded in last 5; form rating: very good
Norway,TRUE,TRUE,TRUE,complete,BTTS last 5: 3; unbeaten streak: 5; win streak: 5; largest win: Norway 11-1 Moldova; attack rating: elite; form rating: excellent
Argentina,TRUE,TRUE,TRUE,complete,BTTS last 5: 2; unbeaten streak: 0; win streak: 0; form rating: very good; best result: Argentina 4-1 Brazil
Algeria,TRUE,TRUE,TRUE,complete,BTTS last 5: 1; unbeaten streak: 0; win streak: 0; form rating: very good; best result: Algeria 3-0 Sudan
Austria,TRUE,TRUE,TRUE,complete,BTTS last 5: 2; unbeaten streak: 2; win streak: 0; largest win: Austria 10-0 San Marino; form rating: very good
Jordan,TRUE,TRUE,TRUE,complete,BTTS last 5: 3; unbeaten streak: 0; win streak: 0; largest win: Oman 0-3 Jordan; form rating: good
Portugal,TRUE,TRUE,TRUE,complete,BTTS last 5: 3; unbeaten streak: 1; win streak: 1; largest win: Portugal 9-1 Armenia; form rating: very good
DR Congo,TRUE,TRUE,TRUE,complete,BTTS last 5: 1; unbeaten streak: 1; win streak: 1; largest win: Botswana 0-3 DR Congo; form rating: very good
