group,team,players_count,matched_players,squad_market_value,average_player_value,top_5_players_value,top_11_players_value,top_23_players_value,goalkeepers,defenders,midfielders,forwards
A,Czechia,26,26,126400000,8426666.67,84000000,118000000,126400000,3,9,9,5
A,Mexico,26,26,115500000,10500000.0,88000000,115500000,115500000,3,6,10,7
A,South Africa,26,21,13000000,13000000.0,13000000,13000000,13000000,3,10,5,8
A,South Korea,26,25,96000000,8000000.0,81500000,95100000,96000000,3,10,10,3
B,Bosnia and Herzegovina,26,26,77350000,4297222.22,49500000,68900000,77350000,3,8,8,7
B,Canada,26,21,150250000,11557692.31,123000000,149800000,150250000,3,9,10,4
B,Qatar,26,15,8800000,1760000.0,8800000,8800000,8800000,3,8,6,9
B,Switzerland,26,26,310300000,13491304.35,167000000,248000000,310300000,3,8,7,8
C,Brazil,26,23,770200000,38510000.0,400000000,633000000,770200000,3,9,7,7
C,Haiti,26,15,51800000,3984615.38,44000000,51400000,51800000,3,8,6,9
C,Morocco,26,23,389600000,19480000.0,222000000,334000000,389600000,3,9,7,7
C,Scotland,26,23,202600000,8808695.65,126000000,180000000,202600000,3,10,8,5
D,Australia,26,1,400000,400000.0,400000,400000,400000,3,10,6,7
D,Paraguay,26,22,110500000,10045454.55,77000000,110500000,110500000,3,8,9,6
D,Turkey,26,25,403700000,16820833.33,218000000,329000000,403200000,3,9,5,9
D,United States,26,23,296800000,18550000.0,175000000,271000000,296800000,3,10,6,7
E,Curaçao,26,24,33225000,1582142.86,20000000,29100000,33225000,3,8,7,8
E,Côte d'Ivoire,26,25,422300000,18360869.57,198000000,337000000,422300000,3,8,6,9
E,Ecuador,26,25,297600000,17505882.35,251000000,281500000,297600000,3,7,7,9
E,Germany,26,23,832000000,37818181.82,420000000,645000000,832000000,3,8,10,5
F,Japan,26,26,222100000,11105000.0,111000000,184000000,222100000,3,9,14,0
F,Netherlands,26,26,797100000,30657692.31,350000000,547000000,786000000,3,8,8,7
F,Sweden,26,24,435800000,22936842.11,310000000,405500000,435800000,3,9,6,8
F,Tunisia,26,17,33700000,3063636.36,26000000,33700000,33700000,3,9,7,7
G,Belgium,26,26,453800000,17453846.15,206000000,345000000,450800000,3,9,6,8
G,Egypt,26,12,102100000,17016666.67,101500000,102100000,102100000,3,9,10,4
G,Iran,26,13,18375000,1413461.54,12300000,17650000,18375000,3,8,10,5
G,New Zealand,26,24,22025000,1694230.77,17500000,21600000,22025000,3,9,5,9
H,Cape Verde,26,16,37025000,2644642.86,30700000,35750000,37025000,3,9,6,8
H,Saudi Arabia,26,23,5650000,1883333.33,5650000,5650000,5650000,3,10,9,4
H,Spain,26,26,990000000,39600000.0,395000000,655000000,981000000,3,8,7,8
H,Uruguay,26,24,430750000,25338235.29,317000000,406000000,430750000,3,8,12,3
I,France,26,26,1463000000,56269230.77,600000000,1000000000,1435000000,3,9,5,9
I,Iraq,26,23,7100000,1183333.33,6750000,7100000,7100000,3,10,8,5
I,Norway,26,24,510500000,26868421.05,372000000,484000000,510500000,3,9,9,5
I,Senegal,26,25,389800000,16947826.09,192000000,325000000,389800000,3,8,7,8
J,Algeria,26,20,160600000,9447058.82,113000000,153000000,160600000,3,9,7,7
J,Argentina,26,25,736500000,32021739.13,415000000,610000000,736500000,3,8,7,8
J,Austria,26,26,271400000,11800000.0,127000000,221000000,271400000,3,9,11,3
J,Jordan,26,18,0,0,0,0,0,3,10,7,6
K,Colombia,23,20,182800000,13057142.86,142000000,176000000,182800000,3,8,7,5
K,DR Congo,26,20,100200000,5894117.65,71000000,91700000,100200000,3,9,9,5
K,Portugal,26,25,1007500000,40300000.0,445000000,708000000,996500000,3,9,6,8
K,Uzbekistan,26,20,52850000,6606250.0,50300000,52850000,52850000,3,10,10,3
L,Croatia,26,26,307650000,12818750.0,189000000,250500000,307300000,3,7,10,6
L,England,26,25,1254000000,50160000.0,545000000,885000000,1247000000,3,9,7,7
L,Ghana,26,21,157600000,8755555.56,126000000,147500000,157600000,3,9,7,7
L,Panama,26,21,15200000,2533333.33,15000000,15200000,15200000,3,10,9,4
